Navn,Antal
VANESSA,1120
MAI-BRITT,1108
HERDIS,1094
ELLINOR,1090
JOANNA,1089
SIA,1081
MELINA,1073
IRYNA,1071
EDEL,1068
PETRA,1064
MIRIAM,1062
FLORA,1052
LISSY,1049
BENEDICTE,1044
ELNA,1037
NOVA,1032
JEANETT,1020
MAREN,1009
LONNIE,1007
LARA,1005
NATALIIA,984
KAMILLE,980
BELINDA,975
MARIAN,971
ERIKA,969
AGNETHE,959
NELLIE,954
SOLVEJ,954
LINEA,947
SELINA,937
MYNTE,920
ZAHRA,920
MARYAM,918
SOLVEJG,911
AISHA,909
MY,908
KATHARINA,907
LILI,904
SUSSIE,904
JULIANE,903
MILA,899
ANNALISE,898
AYSE,897
KATARZYNA,897
WILMA,897
YRSA,896
ALEKSANDRA,886
SISSEL,886
LUCCA,880
MAGDALENA,874
JUNE,871
LINNEA,863
VICKI,861
ELSA,860
LINETTE,858
KIA,850
MINA,845
SIRI,845
KAROLINA,835
LISETTE,826
BENTHE,825
LEILA,822
DANIELLA,821
NANCY,817
SANDIE,817
THERESA,817
VIBE,810
LEAH,801
TINNA,801
VILDE,801
ANNE-GRETHE,800
BOLETTE,799
LUCIA,799
ODA,795
AGNIESZKA,790
DANIELA,790
OKSANA,782
BJØRK,781
MICHELLA,781
MICHALA,772
BRITA,769
DAGNY,767
ISABELL,765
GERTRUD,754
GABRIELLA,753
EMMELIE,749
KATARINA,749
FIONA,748
PAULA,746
MERETHE,744
ANASTASIIA,742
MILLA,735
KRISTA,731
OLHA,730
YULIIA,729
CILLE,725
STEFANIE,724
MAIA,718
MYNTHE,718
AMELIA,716
CORNELIA,714
SVITLANA,712
DORIT,709
KATERYNA,707
SUZANNE,707
AVA,704
ZENIA,702
CRISTINA,701
LIZZIE,701
RAGNHILD,698
VIKTORIIA,697
BELLA,696
NETE,691
ZAINAB,691
ELINE,689
AMAL,684
TANIA,682
XENIA,682
KATHE,681
MONIQUE,681
LILJE,680
IMAN,675
EMMY,673
MARTINE,668
ELSE-MARIE,666
AMIRA,665
STINNE,662
TERESA,659
LYDIA,658
VINNI,658
CAROLINA,656
EVY,654
