Navn,ANTAL
HAUGE,1195
GAMMELGAARD,1186
YILMAZ,1183
MARTINSEN,1182
WEBER,1182
JANSEN,1175
ADAMSEN,1173
JOENSEN,1168
WIND,1167
BAGGER,1160
KRARUP,1157
LUNDSGAARD,1155
THERKELSEN,1149
KILIC,1148
NØRSKOV,1140
BALLE,1134
VANG,1124
ASTRUP,1123
ODGAARD,1121
CASPERSEN,1115
LUNDBERG,1111
VOSS,1110
JÆGER,1108
KRAMER,1106
LINDEGAARD,1105
LINDHOLM,1102
WÜRTZ,1102
DUPONT,1096
KROGSGAARD,1096
ROSENKILDE,1096
SCHWARTZ,1094
SCHNEIDER,1093
CELIK,1092
FOGH,1092
DREJER,1089
SANDBERG,1089
WOLFF,1089
ROSENDAHL,1084
PHAM,1082
SEVERINSEN,1082
BØDKER,1080
BRO,1078
QVIST,1078
STRØM,1078
LUNDGAARD,1076
GROTH,1074
KELLER,1072
OMAR,1071
WILLUMSEN,1070
CHEN,1068
BØGH,1063
BOISEN,1057
BERGMANN,1056
RYTTER,1046
SANDER,1042
MARTINUSSEN,1040
KRAGELUND,1033
BENGTSSON,1032
BAGER,1030
BUUS,1030
ELLEGAARD,1027
LI,1025
HAAGENSEN,1022
KAAS,1021
HUSTED,1017
TOLSTRUP,1016
ROSENDAL,1008
SKØTT,1003
BJERRUM,998
BLOM,996
HOLT,996
MEIER,996
CARLSSON,994
GUNDERSEN,994
KAYA,993
VAD,992
HEIN,987
KJELDGAARD,986
JUST,984
SMEDEGAARD,984
YILDIRIM,979
KHALIL,972
KRAG,970
KIRKEBY,959
KOCK,956
JONASSEN,954
JOSEFSEN,954
ROED,952
NYBORG,950
ISMAIL,947
YDE,947
VALENTIN,946
JÜRGENSEN,944
NØHR,943
MUSTAFA,939
LINDHARDT,937
HANSSON,936
ABDI,935
SMED,935
TERKELSEN,926
WESTH,923
BILLE,917
VEDEL,917
BAGGE,916
ROSE,914
MARK,913
KRABBE,912
STAGE,910
HERMANN,907
SAHIN,906
BIDSTRUP,905
KOEFOED,905
DAMKJÆR,899
NICOLAJSEN,899
SKJØDT,896
ZHANG,896
BÜLOW,889
TANG,889
GULDAGER,888
HOLMBERG,888
LYNGGAARD,886
JUNKER,885
SALLING,885
KLOSTER,880
HERTZ,879
VIND,878
LINDE,877
STOUGAARD,872
TERP,871
NORUP,869
TØNNESEN,867
BOYE,861
RAUN,857
KROMANN,856
BORCH,855
DIDERIKSEN,855
HAAHR,855
MÅNSSON,854
FOGED,852
LORENTSEN,851
LERCHE,850
LANG,847
KRÜGER,846
WARMING,846
EGHOLM,843
DISSING,840
ELGAARD,840
FROM,834
STAAL,829
BUSCH,827
IQBAL,827
FALKENBERG,824
MATHIASSEN,822
MOURITZEN,821
ERNST,819
GEERTSEN,815
HASAN,811
KLEIN,810
BÆKGAARD,809
ELIASEN,809
MATZEN,808
RØNNE,806
SØNDERBY,803
HAVE,802
DREYER,800
SAMUELSEN,800
MUNKHOLM,799
KASPERSEN,798
LYHNE,797
NEUMANN,797
VANGSGAARD,797
SALOMONSEN,796
KASTRUP,795
LINDSTRØM,795
DELEURAN,794
HARDER,794
STEENBERG,794
LINDGAARD,792
STAMPE,789
SEJERSEN,788
SLOT,788
HOVE,783
PAGH,783
DYHR,782
HONOR…,782
KOLD,781
STEPHANSEN,781
SALEH,779
WORM,778
ØRUM,777
ROSSEN,774
ENEMARK,771
SCHACK,769
GOTFREDSEN,768
KJÆRULFF,768
RISAGER,766
BJERRING,765
FUNCH,765
CRAMER,763
DOGAN,763
LADEGAARD,761
REFSGAARD,761
ENGEL,760
PLOUG,758
STRAND,758
BORK,757
BRØGGER,755
SCHULZ,753
BEYER,751
LIU,750
LYKKEGAARD,750
BITSCH,745
STEENSEN,745
VENDELBO,744
DEMIR,741
ANDERSON,739
LYNGSØ,739
PETERSSON,739
SHAH,739
GOTTLIEB,735
SIVERTSEN,733
MOSE,732
FLINDT,731
KORSHOLM,730
LAUSEN,730
MOESGAARD,730
KANSTRUP,729
STÆHR,729
HINRICHSEN,727
HEDE,726
KURE,725
MAHMOUD,724
YILDIZ,723
MALLING,722
HØEGH,721
BOSSEN,720
LINNET,720
HORN,719
LILLELUND,718
MELGAARD,718
NOER,718
AAEN,714
EHLERS,714
FEDDERSEN,714
HENDRIKSEN,714
ESKESEN,709
AARUP,708
GRØNNING,708
BROBERG,706
JUEL,706
VINDING,705
HJORTSHØJ,702
POLAT,701
ALSTRUP,700
DØSSING,698
GRØNBÆK,698
NØRBY,697
POST,696
SØBY,696
TRANBERG,695
HØJER,691
KLEMMENSEN,691
BLAABJERG,690
JOCHUMSEN,690
FARAH,688
GRØNLUND,687
FENGER,685
KAAE,685
PAASKE,685
RIBER,684
KJØLLER,681
CONRADSEN,679
DUEHOLM,679
ESBENSEN,678
LOHMANN,678
ZACHO,678
DAHLGAARD,677
HØEG,677
MOHAMMED,677
AGERSKOV,676
EGEBERG,675
HARBOE,674
FOG,673
HØY,673
GERTSEN,669
WOLF,667
TROLLE,665
NYMANN,664
WEST,662
KRØYER,660
WITT,660
ESPENSEN,659
MARKER,659
FABER,657
FINK,657
BECKER,656
SKAANING,654
STILLING,653
HALKJÆR,652
BOJSEN,651
HYLDGAARD,651
RASHID,650
EGELUND,649
HØST,649
LOHSE,647
BENGTSEN,646
BUGGE,645
KOLDING,645
SØE,645
LAUSTEN,644
SERUP,644
HØJLUND,643
BENGTSON,641
KUSK,641
LANGHOFF,640
BØRGESEN,639
GRØNBECH,639
STENSGAARD,639
ZACHARIASSEN,639
LAU,638
GRØNKJÆR,637
NYHOLM,637
PALM,637
RICHTER,636
VISTISEN,636
MALIK,634
MUNCK,634
AGGER,633
OVERBY,633
RAFN,633
ULRICH,633
BOEL,631
BYSKOV,631
HOFF,631
MOHR,631
BREUM,628
CARSTENS,628
HARTVIG,627
BERING,624
HAMANN,624
PONTOPPIDAN,624
BRUN,623
BACHMANN,622
BANK,622
HALL,621
STRANGE,620
TURAN,619
AGGERHOLM,618
HØJLAND,618
RØNN,618
